INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,SLRS_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_ZONE_NAME,SCHEDULE,XML_DATA_ITEM,POS,MW,GROUP
2011-10-02T04:00:00-00:00,2011-10-02T05:00:00-00:00,ALL,2011-10-01,22,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"27749,35",1
2011-10-01T19:00:00-00:00,2011-10-01T20:00:00-00:00,ALL,2011-10-01,13,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"27700,25",1
2011-10-01T20:00:00-00:00,2011-10-01T21:00:00-00:00,ALL,2011-10-01,14,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"28622,61",1
2011-10-01T23:00:00-00:00,2011-10-02T00:00:00-00:00,ALL,2011-10-01,17,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"29566,05",1
2011-10-02T05:00:00-00:00,2011-10-02T06:00:00-00:00,ALL,2011-10-01,23,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"25932,41",1
2011-10-02T02:00:00-00:00,2011-10-02T03:00:00-00:00,ALL,2011-10-01,20,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"30039,24",1
2011-10-01T08:00:00-00:00,2011-10-01T09:00:00-00:00,ALL,2011-10-01,2,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"22400,76",1
2011-10-01T13:00:00-00:00,2011-10-01T14:00:00-00:00,ALL,2011-10-01,7,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"22370,67",1
2011-10-01T18:00:00-00:00,2011-10-01T19:00:00-00:00,ALL,2011-10-01,12,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"27217,1",1
2011-10-02T03:00:00-00:00,2011-10-02T04:00:00-00:00,ALL,2011-10-01,21,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"29595,49",1
2011-10-01T14:00:00-00:00,2011-10-01T15:00:00-00:00,ALL,2011-10-01,8,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"22849,03",1
2011-10-01T22:00:00-00:00,2011-10-01T23:00:00-00:00,ALL,2011-10-01,16,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"29300,54",1
2011-10-01T09:00:00-00:00,2011-10-01T10:00:00-00:00,ALL,2011-10-01,3,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"21638,03",1
2011-10-01T10:00:00-00:00,2011-10-01T11:00:00-00:00,ALL,2011-10-01,4,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"21190,22",1
2011-10-02T00:00:00-00:00,2011-10-02T01:00:00-00:00,ALL,2011-10-01,18,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"29260,42",1
2011-10-02T01:00:00-00:00,2011-10-02T02:00:00-00:00,ALL,2011-10-01,19,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"29065,73",1
2011-10-01T15:00:00-00:00,2011-10-01T16:00:00-00:00,ALL,2011-10-01,9,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"23984,11",1
2011-10-01T16:00:00-00:00,2011-10-01T17:00:00-00:00,ALL,2011-10-01,10,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"25318,35",1
2011-10-01T17:00:00-00:00,2011-10-01T18:00:00-00:00,ALL,2011-10-01,11,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"26301,34",1
2011-10-01T21:00:00-00:00,2011-10-01T22:00:00-00:00,ALL,2011-10-01,15,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"28502,31",1
2011-10-01T07:00:00-00:00,2011-10-01T08:00:00-00:00,ALL,2011-10-01,1,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"23576,9",1
2011-10-01T11:00:00-00:00,2011-10-01T12:00:00-00:00,ALL,2011-10-01,5,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"21097,33",1
2011-10-01T12:00:00-00:00,2011-10-01T13:00:00-00:00,ALL,2011-10-01,6,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"21195,24",1
2011-10-02T06:00:00-00:00,2011-10-02T07:00:00-00:00,ALL,2011-10-01,24,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"23984,36",1
2011-10-01T18:00:00-00:00,2011-10-01T19:00:00-00:00,LOAD,2011-10-01,12,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,"12949,49",2
2011-10-01T09:00:00-00:00,2011-10-01T10:00:00-00:00,LOAD,2011-10-01,3,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,"9825,26",2
2011-10-01T19:00:00-00:00,2011-10-01T20:00:00-00:00,LOAD,2011-10-01,13,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,13498,2
2011-10-01T14:00:00-00:00,2011-10-01T15:00:00-00:00,LOAD,2011-10-01,8,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,"10491,46",2
2011-10-02T01:00:00-00:00,2011-10-02T02:00:00-00:00,LOAD,2011-10-01,19,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,"13867,02",2
2011-10-01T23:00:00-00:00,2011-10-02T00:00:00-00:00,LOAD,2011-10-01,17,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,"14367,49",2
