INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,SLRS_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_ZONE_NAME,SCHEDULE,XML_DATA_ITEM,POS,MW,GROUP
2011-02-01T12:00:00-00:00,2011-02-01T13:00:00-00:00,ALL,2011-02-01,5,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"20694,44",1
2011-02-02T04:00:00-00:00,2011-02-02T05:00:00-00:00,ALL,2011-02-01,21,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"28162,61",1
2011-02-01T14:00:00-00:00,2011-02-01T15:00:00-00:00,ALL,2011-02-01,7,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"25912,92",1
2011-02-01T09:00:00-00:00,2011-02-01T10:00:00-00:00,ALL,2011-02-01,2,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"19938,34",1
2011-02-02T07:00:00-00:00,2011-02-02T08:00:00-00:00,ALL,2011-02-01,24,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"22358,71",1
2011-02-02T03:00:00-00:00,2011-02-02T04:00:00-00:00,ALL,2011-02-01,20,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"29119,59",1
2011-02-02T00:00:00-00:00,2011-02-02T01:00:00-00:00,ALL,2011-02-01,17,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"26341,02",1
2011-02-01T18:00:00-00:00,2011-02-01T19:00:00-00:00,ALL,2011-02-01,11,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"27666,77",1
2011-02-02T02:00:00-00:00,2011-02-02T03:00:00-00:00,ALL,2011-02-01,19,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"29606,84",1
2011-02-01T20:00:00-00:00,2011-02-01T21:00:00-00:00,ALL,2011-02-01,13,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"27296,74",1
2011-02-01T19:00:00-00:00,2011-02-01T20:00:00-00:00,ALL,2011-02-01,12,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"27420,85",1
2011-02-02T06:00:00-00:00,2011-02-02T07:00:00-00:00,ALL,2011-02-01,23,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"24430,75",1
2011-02-01T23:00:00-00:00,2011-02-02T00:00:00-00:00,ALL,2011-02-01,16,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"26130,67",1
2011-02-01T11:00:00-00:00,2011-02-01T12:00:00-00:00,ALL,2011-02-01,4,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"19508,25",1
2011-02-01T08:00:00-00:00,2011-02-01T09:00:00-00:00,ALL,2011-02-01,1,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"20540,72",1
2011-02-02T05:00:00-00:00,2011-02-02T06:00:00-00:00,ALL,2011-02-01,22,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"26611,56",1
2011-02-02T01:00:00-00:00,2011-02-02T02:00:00-00:00,ALL,2011-02-01,18,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"28904,45",1
2011-02-01T21:00:00-00:00,2011-02-01T22:00:00-00:00,ALL,2011-02-01,14,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"27030,69",1
2011-02-01T10:00:00-00:00,2011-02-01T11:00:00-00:00,ALL,2011-02-01,3,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"19614,91",1
2011-02-01T16:00:00-00:00,2011-02-01T17:00:00-00:00,ALL,2011-02-01,9,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"27091,68",1
2011-02-01T15:00:00-00:00,2011-02-01T16:00:00-00:00,ALL,2011-02-01,8,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"27049,34",1
2011-02-01T22:00:00-00:00,2011-02-01T23:00:00-00:00,ALL,2011-02-01,15,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"26618,54",1
2011-02-01T17:00:00-00:00,2011-02-01T18:00:00-00:00,ALL,2011-02-01,10,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"27677,56",1
2011-02-01T13:00:00-00:00,2011-02-01T14:00:00-00:00,ALL,2011-02-01,6,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"22635,4",1
2011-02-02T06:00:00-00:00,2011-02-02T07:00:00-00:00,LOAD,2011-02-01,23,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,"11074,85",2
2011-02-02T00:00:00-00:00,2011-02-02T01:00:00-00:00,LOAD,2011-02-01,17,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,"11793,25",2
2011-02-01T23:00:00-00:00,2011-02-02T00:00:00-00:00,LOAD,2011-02-01,16,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,"11928,79",2
2011-02-01T21:00:00-00:00,2011-02-01T22:00:00-00:00,LOAD,2011-02-01,14,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,"12477,14",2
2011-02-01T13:00:00-00:00,2011-02-01T14:00:00-00:00,LOAD,2011-02-01,6,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,"10120,94",2
2011-02-01T11:00:00-00:00,2011-02-01T12:00:00-00:00,LOAD,2011-02-01,4,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,"8610,45",2
2011-02-01T10:00:00-00:00,2011-02-01T11:00:00-00:00,LOAD,2011-02-01,3,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,"8645,82",2
2011-02-01T19:00:00-00:00,2011-02-01T20:00:00-00:00,LOAD,2011-02-01,12,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,"12558,09",2
2011-02-02T07:00:00-00:00,2011-02-02T08:00:00-00:00,LOAD,2011-02-01,24,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,"10114,59",2
2011-02-02T04:00:00-00:00,2011-02-02T05:00:00-00:00,LOAD,2011-02-01,21,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,"12588,61",2
2011-02-02T01:00:00-00:00,2011-02-02T02:00:00-00:00,LOAD,2011-02-01,18,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,"12702,15",2
