INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,SLRS_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_ZONE_NAME,SCHEDULE,XML_DATA_ITEM,POS,MW,GROUP
2011-07-01T14:00:00-00:00,2011-07-01T15:00:00-00:00,ALL,2011-07-01,8,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"26436,74",1
2011-07-01T11:00:00-00:00,2011-07-01T12:00:00-00:00,ALL,2011-07-01,5,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"21922,4",1
2011-07-02T01:00:00-00:00,2011-07-02T02:00:00-00:00,ALL,2011-07-01,19,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"34368,97",1
2011-07-02T02:00:00-00:00,2011-07-02T03:00:00-00:00,ALL,2011-07-01,20,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"32918,93",1
2011-07-02T06:00:00-00:00,2011-07-02T07:00:00-00:00,ALL,2011-07-01,24,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"26913,95",1
2011-07-01T18:00:00-00:00,2011-07-01T19:00:00-00:00,ALL,2011-07-01,12,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"32465,24",1
2011-07-01T20:00:00-00:00,2011-07-01T21:00:00-00:00,ALL,2011-07-01,14,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"34291,48",1
2011-07-01T08:00:00-00:00,2011-07-01T09:00:00-00:00,ALL,2011-07-01,2,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"22533,23",1
2011-07-01T19:00:00-00:00,2011-07-01T20:00:00-00:00,ALL,2011-07-01,13,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"33277,08",1
2011-07-01T22:00:00-00:00,2011-07-01T23:00:00-00:00,ALL,2011-07-01,16,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"35572,77",1
2011-07-02T00:00:00-00:00,2011-07-02T01:00:00-00:00,ALL,2011-07-01,18,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"35451,23",1
2011-07-02T03:00:00-00:00,2011-07-02T04:00:00-00:00,ALL,2011-07-01,21,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"33028,41",1
2011-07-02T04:00:00-00:00,2011-07-02T05:00:00-00:00,ALL,2011-07-01,22,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"32087,27",1
2011-07-01T07:00:00-00:00,2011-07-01T08:00:00-00:00,ALL,2011-07-01,1,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"23712,03",1
2011-07-01T10:00:00-00:00,2011-07-01T11:00:00-00:00,ALL,2011-07-01,4,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"21518,02",1
2011-07-01T09:00:00-00:00,2011-07-01T10:00:00-00:00,ALL,2011-07-01,3,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"21777,42",1
2011-07-01T12:00:00-00:00,2011-07-01T13:00:00-00:00,ALL,2011-07-01,6,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"22595,7",1
2011-07-01T13:00:00-00:00,2011-07-01T14:00:00-00:00,ALL,2011-07-01,7,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"24304,05",1
2011-07-01T15:00:00-00:00,2011-07-01T16:00:00-00:00,ALL,2011-07-01,9,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"27726,4",1
2011-07-01T17:00:00-00:00,2011-07-01T18:00:00-00:00,ALL,2011-07-01,11,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"31366,96",1
2011-07-01T21:00:00-00:00,2011-07-01T22:00:00-00:00,ALL,2011-07-01,15,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"35211,01",1
2011-07-01T23:00:00-00:00,2011-07-02T00:00:00-00:00,ALL,2011-07-01,17,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"35701,43",1
2011-07-02T05:00:00-00:00,2011-07-02T06:00:00-00:00,ALL,2011-07-01,23,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"29548,16",1
2011-07-01T16:00:00-00:00,2011-07-01T17:00:00-00:00,ALL,2011-07-01,10,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"29633,85",1
2011-07-02T06:00:00-00:00,2011-07-02T07:00:00-00:00,LOAD,2011-07-01,24,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,"12693,37",2
2011-07-01T16:00:00-00:00,2011-07-01T17:00:00-00:00,LOAD,2011-07-01,10,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,"13767,12",2
2011-07-01T15:00:00-00:00,2011-07-01T16:00:00-00:00,LOAD,2011-07-01,9,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,"12836,13",2
2011-07-02T00:00:00-00:00,2011-07-02T01:00:00-00:00,LOAD,2011-07-01,18,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,"17015,23",2
2011-07-01T22:00:00-00:00,2011-07-01T23:00:00-00:00,LOAD,2011-07-01,16,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,"17465,79",2
2011-07-01T18:00:00-00:00,2011-07-01T19:00:00-00:00,LOAD,2011-07-01,12,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,"15374,31",2
2011-07-01T14:00:00-00:00,2011-07-01T15:00:00-00:00,LOAD,2011-07-01,8,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,11919,2
2011-07-01T08:00:00-00:00,2011-07-01T09:00:00-00:00,LOAD,2011-07-01,2,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,"10577,71",2
2011-07-01T12:00:00-00:00,2011-07-01T13:00:00-00:00,LOAD,2011-07-01,6,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,"10422,33",2
2011-07-01T13:00:00-00:00,2011-07-01T14:00:00-00:00,LOAD,2011-07-01,7,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,"11028,67",2
2011-07-02T02:00:00-00:00,2011-07-02T03:00:00-00:00,LOAD,2011-07-01,20,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,"15447,64",2
2011-07-01T11:00:00-00:00,2011-07-01T12:00:00-00:00,LOAD,2011-07-01,5,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,"10053,68",2
2011-07-01T10:00:00-00:00,2011-07-01T11:00:00-00:00,LOAD,2011-07-01,4,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,"9979,01",2
2011-07-01T07:00:00-00:00,2011-07-01T08:00:00-00:00,LOAD,2011-07-01,1,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,"11222,64",2
2011-07-02T03:00:00-00:00,2011-07-02T04:00:00-00:00,LOAD,2011-07-01,21,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,"15268,6",2
2011-07-01T21:00:00-00:00,2011-07-01T22:00:00-00:00,LOAD,2011-07-01,15,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,"17113,96",2
2011-07-01T17:00:00-00:00,2011-07-01T18:00:00-00:00,LOAD,2011-07-01,11,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,"14751,35",2
2011-07-01T19:00:00-00:00,2011-07-01T20:00:00-00:00,LOAD,2011-07-01,13,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,"16006,74",2
2011-07-02T04:00:00-00:00,2011-07-02T05:00:00-00:00,LOAD,2011-07-01,22,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,"15021,6",2
2011-07-01T09:00:00-00:00,2011-07-01T10:00:00-00:00,LOAD,2011-07-01,3,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,"10170,03",2
2011-07-01T23:00:00-00:00,2011-07-02T00:00:00-00:00,LOAD,2011-07-01,17,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,"17412,55",2
2011-07-02T01:00:00-00:00,2011-07-02T02:00:00-00:00,LOAD,2011-07-01,19,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,"16250,14",2
2011-07-01T20:00:00-00:00,2011-07-01T21:00:00-00:00,LOAD,2011-07-01,14,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,"16556,9",2
2011-07-02T05:00:00-00:00,2011-07-02T06:00:00-00:00,LOAD,2011-07-01,23,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,"13869,95",2
2011-07-02T02:00:00-00:00,2011-07-02T03:00:00-00:00,LOAD,2011-07-01,20,0,DAM,TAC_NORTH,Load,TOT_LOAD_MW,8,"14708,24",3
2011-07-01T22:00:00-00:00,2011-07-01T23:00:00-00:00,LOAD,2011-07-01,16,0,DAM,TAC_NORTH,Load,TOT_LOAD_MW,8,"15061,65",3
2011-07-01T16:00:00-00:00,2011-07-01T17:00:00-00:00,LOAD,2011-07-01,10,0,DAM,TAC_NORTH,Load,TOT_LOAD_MW,8,"13364,51",3
2011-07-01T15:00:00-00:00,2011-07-01T16:00:00-00:00,LOAD,2011-07-01,9,0,DAM,TAC_NORTH,Load,TOT_LOAD_MW,8,"12568,57",3
2011-07-02T06:00:00-00:00,2011-07-02T07:00:00-00:00,LOAD,2011-07-01,24,0,DAM,TAC_NORTH,Load,TOT_LOAD_MW,8,"11884,51",3
2011-07-01T12:00:00-00:00,2011-07-01T13:00:00-00:00,LOAD,2011-07-01,6,0,DAM,TAC_NORTH,Load,TOT_LOAD_MW,8,"10383,09",3
2011-07-02T05:00:00-00:00,2011-07-02T06:00:00-00:00,LOAD,2011-07-01,23,0,DAM,TAC_NORTH,Load,TOT_LOAD_MW,8,"13112,51",3
2011-07-01T20:00:00-00:00,2011-07-01T21:00:00-00:00,LOAD,2011-07-01,14,0,DAM,TAC_NORTH,Load,TOT_LOAD_MW,8,"14781,57",3
2011-07-01T10:00:00-00:00,2011-07-01T11:00:00-00:00,LOAD,2011-07-01,4,0,DAM,TAC_NORTH,Load,TOT_LOAD_MW,8,"9855,51",3
2011-07-01T21:00:00-00:00,2011-07-01T22:00:00-00:00,LOAD,2011-07-01,15,0,DAM,TAC_NORTH,Load,TOT_LOAD_MW,8,"15087,01",3
2011-07-01T17:00:00-00:00,2011-07-01T18:00:00-00:00,LOAD,2011-07-01,11,0,DAM,TAC_NORTH,Load,TOT_LOAD_MW,8,"13956,77",3
2011-07-01T13:00:00-00:00,2011-07-01T14:00:00-00:00,LOAD,2011-07-01,7,0,DAM,TAC_NORTH,Load,TOT_LOAD_MW,8,"11312,68",3
2011-07-01T09:00:00-00:00,2011-07-01T10:00:00-00:00,LOAD,2011-07-01,3,0,DAM,TAC_NORTH,Load,TOT_LOAD_MW,8,"9872,61",3
2011-07-02T03:00:00-00:00,2011-07-02T04:00:00-00:00,LOAD,2011-07-01,21,0,DAM,TAC_NORTH,Load,TOT_LOAD_MW,8,"15000,04",3
2011-07-02T01:00:00-00:00,2011-07-02T02:00:00-00:00,LOAD,2011-07-01,19,0,DAM,TAC_NORTH,Load,TOT_LOAD_MW,8,"15265,26",3
2011-07-01T14:00:00-00:00,2011-07-01T15:00:00-00:00,LOAD,2011-07-01,8,0,DAM,TAC_NORTH,Load,TOT_LOAD_MW,8,"12376,02",3
2011-07-01T11:00:00-00:00,2011-07-01T12:00:00-00:00,LOAD,2011-07-01,5,0,DAM,TAC_NORTH,Load,TOT_LOAD_MW,8,"10159,97",3
2011-07-01T23:00:00-00:00,2011-07-02T00:00:00-00:00,LOAD,2011-07-01,17,0,DAM,TAC_NORTH,Load,TOT_LOAD_MW,8,"15237,08",3
2011-07-01T18:00:00-00:00,2011-07-01T19:00:00-00:00,LOAD,2011-07-01,12,0,DAM,TAC_NORTH,Load,TOT_LOAD_MW,8,"14311,29",3
2011-07-02T04:00:00-00:00,2011-07-02T05:00:00-00:00,LOAD,2011-07-01,22,0,DAM,TAC_NORTH,Load,TOT_LOAD_MW,8,"14327,12",3
2011-07-01T19:00:00-00:00,2011-07-01T20:00:00-00:00,LOAD,2011-07-01,13,0,DAM,TAC_NORTH,Load,TOT_LOAD_MW,8,"14397,01",3
2011-07-01T08:00:00-00:00,2011-07-01T09:00:00-00:00,LOAD,2011-07-01,2,0,DAM,TAC_NORTH,Load,TOT_LOAD_MW,8,"10132,92",3
2011-07-01T07:00:00-00:00,2011-07-01T08:00:00-00:00,LOAD,2011-07-01,1,0,DAM,TAC_NORTH,Load,TOT_LOAD_MW,8,"10519,47",3
2011-07-02T00:00:00-00:00,2011-07-02T01:00:00-00:00,LOAD,2011-07-01,18,0,DAM,TAC_NORTH,Load,TOT_LOAD_MW,8,"15449,07",3
2011-07-01T15:00:00-00:00,2011-07-01T16:00:00-00:00,LOAD,2011-07-01,9,0,DAM,TAC_SOUTH,Load,TOT_LOAD_MW,8,"2321,7",4
2011-07-01T16:00:00-00:00,2011-07-01T17:00:00-00:00,LOAD,2011-07-01,10,0,DAM,TAC_SOUTH,Load,TOT_LOAD_MW,8,"2502,22",4
2011-07-01T21:00:00-00:00,2011-07-01T22:00:00-00:00,LOAD,2011-07-01,15,0,DAM,TAC_SOUTH,Load,TOT_LOAD_MW,8,"3010,04",4
2011-07-01T22:00:00-00:00,2011-07-01T23:00:00-00:00,LOAD,2011-07-01,16,0,DAM,TAC_SOUTH,Load,TOT_LOAD_MW,8,"3045,33",4
2011-07-01T12:00:00-00:00,2011-07-01T13:00:00-00:00,LOAD,2011-07-01,6,0,DAM,TAC_SOUTH,Load,TOT_LOAD_MW,8,"1790,28",4
2011-07-01T23:00:00-00:00,2011-07-02T00:00:00-00:00,LOAD,2011-07-01,17,0,DAM,TAC_SOUTH,Load,TOT_LOAD_MW,8,"3051,8",4
2011-07-01T08:00:00-00:00,2011-07-01T09:00:00-00:00,LOAD,2011-07-01,2,0,DAM,TAC_SOUTH,Load,TOT_LOAD_MW,8,"1822,6",4
2011-07-01T09:00:00-00:00,2011-07-01T10:00:00-00:00,LOAD,2011-07-01,3,0,DAM,TAC_SOUTH,Load,TOT_LOAD_MW,8,"1734,78",4
2011-07-01T10:00:00-00:00,2011-07-01T11:00:00-00:00,LOAD,2011-07-01,4,0,DAM,TAC_SOUTH,Load,TOT_LOAD_MW,8,"1683,5",4
2011-07-01T19:00:00-00:00,2011-07-01T20:00:00-00:00,LOAD,2011-07-01,13,0,DAM,TAC_SOUTH,Load,TOT_LOAD_MW,8,"2873,33",4
2011-07-02T00:00:00-00:00,2011-07-02T01:00:00-00:00,LOAD,2011-07-01,18,0,DAM,TAC_SOUTH,Load,TOT_LOAD_MW,8,"2986,93",4
2011-07-01T07:00:00-00:00,2011-07-01T08:00:00-00:00,LOAD,2011-07-01,1,0,DAM,TAC_SOUTH,Load,TOT_LOAD_MW,8,"1969,92",4
2011-07-01T13:00:00-00:00,2011-07-01T14:00:00-00:00,LOAD,2011-07-01,7,0,DAM,TAC_SOUTH,Load,TOT_LOAD_MW,8,"1962,7",4
2011-07-01T14:00:00-00:00,2011-07-01T15:00:00-00:00,LOAD,2011-07-01,8,0,DAM,TAC_SOUTH,Load,TOT_LOAD_MW,8,"2141,72",4
2011-07-02T05:00:00-00:00,2011-07-02T06:00:00-00:00,LOAD,2011-07-01,23,0,DAM,TAC_SOUTH,Load,TOT_LOAD_MW,8,"2565,7",4
2011-07-02T04:00:00-00:00,2011-07-02T05:00:00-00:00,LOAD,2011-07-01,22,0,DAM,TAC_SOUTH,Load,TOT_LOAD_MW,8,"2738,55",4
2011-07-01T20:00:00-00:00,2011-07-01T21:00:00-00:00,LOAD,2011-07-01,14,0,DAM,TAC_SOUTH,Load,TOT_LOAD_MW,8,"2953,01",4
2011-07-02T01:00:00-00:00,2011-07-02T02:00:00-00:00,LOAD,2011-07-01,19,0,DAM,TAC_SOUTH,Load,TOT_LOAD_MW,8,"2853,57",4
2011-07-02T02:00:00-00:00,2011-07-02T03:00:00-00:00,LOAD,2011-07-01,20,0,DAM,TAC_SOUTH,Load,TOT_LOAD_MW,8,"2763,05",4
2011-07-02T03:00:00-00:00,2011-07-02T04:00:00-00:00,LOAD,2011-07-01,21,0,DAM,TAC_SOUTH,Load,TOT_LOAD_MW,8,"2759,77",4
2011-07-02T06:00:00-00:00,2011-07-02T07:00:00-00:00,LOAD,2011-07-01,24,0,DAM,TAC_SOUTH,Load,TOT_LOAD_MW,8,"2336,07",4
2011-07-01T11:00:00-00:00,2011-07-01T12:00:00-00:00,LOAD,2011-07-01,5,0,DAM,TAC_SOUTH,Load,TOT_LOAD_MW,8,"1708,75",4
2011-07-01T17:00:00-00:00,2011-07-01T18:00:00-00:00,LOAD,2011-07-01,11,0,DAM,TAC_SOUTH,Load,TOT_LOAD_MW,8,"2658,84",4
2011-07-01T18:00:00-00:00,2011-07-01T19:00:00-00:00,LOAD,2011-07-01,12,0,DAM,TAC_SOUTH,Load,TOT_LOAD_MW,8,"2779,64",4
2011-07-02T10:00:00-00:00,2011-07-02T11:00:00-00:00,ALL,2011-07-02,4,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"22412,61",5
2011-07-03T05:00:00-00:00,2011-07-03T06:00:00-00:00,ALL,2011-07-02,23,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"30177,23",5
2011-07-02T22:00:00-00:00,2011-07-02T23:00:00-00:00,ALL,2011-07-02,16,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"36546,3",5
2011-07-03T04:00:00-00:00,2011-07-03T05:00:00-00:00,ALL,2011-07-02,22,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"32966,35",5
2011-07-02T13:00:00-00:00,2011-07-02T14:00:00-00:00,ALL,2011-07-02,7,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"22296,54",5
2011-07-03T02:00:00-00:00,2011-07-03T03:00:00-00:00,ALL,2011-07-02,20,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"34387,19",5
2011-07-02T17:00:00-00:00,2011-07-02T18:00:00-00:00,ALL,2011-07-02,11,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"29914,8",5
